Upi,Fleng,Fwidth,RawLength,RawWidth,Quantity,Material,Graining,UniqueEdgeId1LeadingEdge,UniqueEdgeId2LeadingEdge,UniqueEdgeId3LeadingEdge,UniqueEdgeId4LeadingEdge,Orientation,Materialflow,SerialNumber,Customernumber,Cart,PartName,Batchnumber,ErpEdge,CsvRemark,DoubleFaces,Thickness,MillingType,Reverse,PackQuantity,PackNumber,SwplQuantity,LotCode,LotDesc,ProjectName,Ftlx,Fen,Color,CabinetNo,DrillingType,WareFlag,ProductColor,CrId,NailFlag,PickupDate,ItemCodeSimple,EmergencyFlag,GIndex,SubBatchArea,DealerName,PVC,LineNo,FlowName,OptimizeList,FactoryCode,Info6DrillingNo,ItemCode,DiagonalLine,DoolFleng,DoolFwidth,DateTimeType,BatchSeq,SeeLightFlag,ReproduceFlag,CabinetNumber,ProductTypeName,PartTypeName,ModelType,HhWall,HhHandleface,DoorSerialNumber,HhLocktype,HhHingetype,OrderBrand,LineItemName,LineItemCode,HhMachiningOne,DetailRemark,HhBottomdis,DePlanComments,HgDoorSerialNumber,IsInsertedPanelLine,OldTaskNo,OldNeedItemNumber,TransverseStriation,HandleRemark,Specification,ProductDateEnd,BatchOrder,SourceColor,HhSpecification,HhMachiningTwo,HhSeq,MmGroovemessage,SealDarkintDamper,DoorPocketNum,HandleShortName,ColourTonal,MmColourmixture,MmSpecOrderRemark,BatchCarNo,BatchCarNoIndex,GcPanelType,SpecialProcess,EdgebandColour,SurfaceColor,EdgebandLogoFlag,TypeOfProduction,OriginLength,OriginWidth,DrillingNoLastFour,EdgebandLogoFlagExtend,HalmaMillType,CpnOuterColorDescriptionZH,PackageBatch,Shape,ShapeFlag,OrderBrandClass,Handle,PotColor,SpellTrayCode,TrayCode,Suite,RouteName,CommentsInValue,FilmCoverItemCode,FilmCoverPictureCode,Layer,SingleOrderSeat,SingleOrderArea,LastCol
1318110000000.0,564.0,541.0,565.0,541.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P0091032400235-5,六,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,11,6,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318110571024-6-1,,11月5日,,,,柜3区,福州,034B,11,智能矩形,,131811057,,FG0318019VA,781.52,564.0,541.0,B,1,,,,,,,,,Nov-89,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,六-11,0,,,,,564*541*18,,ZJ_ZN241102A1-1 | P0091032400235-5,034B,18*541*564,,89-11-,,；；,,,深花色,,,0,0,,,34,,,,565.0,541.5,1024,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P004,,,6,,,,,,,End
1320030000000.0,1576.0,550.0,1577.0,550.0,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD0041_034,FBD6_22_034,0,1_6_10,381279230,Y0323142400085-12,33,非标18mm见光侧板(VA),ZJ_ZN241102A1-1,2H△2L,,,18,,,19,18,2,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320033271013-33-1,,11月5日,,,,柜3区,杭州佳盛,034B,117,智能矩形,,132003327,,FC11801VA,1669.21,1576.0,550.0,B,1,★,,,,,,,,125-117,,,索菲亚,非标18mm见光侧板(VA),,  ,,扇地缝:,,33-117,0,,,,,1576*550*18,,ZJ_ZN241102A1-1 | Y0323142400085-12,034B,18*550*1576,,125-117-,,；；,,,深花色,,,0,0,,,34,,,,1577.0,550.0,1013,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y081,,,6,,,,,,,End
1319090000000.0,712.0,248.5,712.0,248.5,1,VA_18_034B,1,FBD0041_034,FBD0041_034,FBD0041_034,FBD0041_034,0,1_6,381279230,P0120052400199-3,55,非标榻榻米固定盖板(VA),ZJ_ZN241102A1-1,四△,,,18,,,2,1,4,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A1,,,1319093971001-55-1,,11月5日,,,,柜3区,潍坊,034B,4,智能矩形,,131909397,,FT21810VA,754.12,712.0,248.5,B,1,,,,,,,,,7月4日,,,索菲亚,非标榻榻米固定盖板(VA),,  ,,扇地缝:,,Apr-55,0,,,,,712*248.5*18,,ZJ_ZN241102A1-1 | P0120052400199-3,034B,18*248.5*712,,7-4-,,；；,,,深花色,,,0,0,,,34,,,,712.0,248.5,1001,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P046,,,6,,,,,,,End
1320020000000.0,625.0,80.0,625.0,80.0,1,VA_18_034B,1,FBD0041_034,FBD0041_034,FBD0041_034,FBD0041_034,0,1_6_10T,381279230,P3726012400098-2,59,18mm非标板(VA),ZJ_ZN241102A1-1,四△,左0，0，右0，0,,18,,,1,1,9,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A1,,,1320023381021-59-1,,11月5日,,,,柜1区,镇江新区,034B,2,4.0小板件,,132002338,,FQ218VA,630.1,625.0,80.0,B,1,,,,,,,,,Feb-34,,,索菲亚,18mm非标板(VA),,  ,,扇地缝:,,Feb-59,0,,,,,625*80*18,,ZJ_ZN241102A1-1 | P3726012400098-2,034B,18*80*625,,34-2-,,；；,,,深花色,,,0,0,,,34,,,,625.0,80.0,1021,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1316810000000.0,1368.0,60.0,1368.0,60.0,1,VA_18_034B,1,FBD0041_034,FBD0041_034,FBD0041_034,FBD0041_034,0,1_6_10T,381279230,Y0384022400205-17,40,18mm封板(VA),ZJ_ZN241102A1-1,四△,,,18,,,1,1,2,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1316807501004-40-1,,11月5日,,,,柜1区,嘉善县,034B,1,4.0小板件,,131680750,,FZ0118VA,1369.32,1368.0,60.0,B,1,★,,,,,,,,4月1日,,,索菲亚,18mm封板(VA),,  ,,扇地缝:,,Jan-40,0,,,,,1368*60*18,,ZJ_ZN241102A1-1 | Y0384022400205-17,034B,18*60*1368,,4-1-,,；；,,,深花色,,,0,0,,,34,,,,1368.0,60.0,1004,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y043,,,6,,,,,,,End
1319090000000.0,440.0,120.0,441.0,120.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10T,381279230,P0120052400199-7,18,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,1,1,11,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1319094141008-18-1,,11月5日,,,,柜1区,潍坊,034B,25,4.0小板件,,131909414,,FC21801VA,456.07,440.0,120.0,B,1,,,,,,,,,38-25,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,18-25,0,,,,,440*120*18,,ZJ_ZN241102A1-1 | P0120052400199-7,034B,18*120*440,,38-25-,,；；,,,深花色,,,0,0,,,34,,,,441.0,120.5,1008,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P046,,,6,,,,,,,End
1319570000000.0,780.0,551.0,781.0,551.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,Y0112032400254-23,九,18mm层板(型材另配五金)(VA),ZJ_ZN241102A1-1,四○,,,18,,,7,7,4,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1319568151019-9-1,,11月5日,,,,柜3区,吴江,034B,18,智能矩形,,131956815,,FG0321826VA,954.99,780.0,551.0,B,1,,,,,,,,,63-18,,,索菲亚,18mm层板(型材另配五金)(VA),,  ,,扇地缝:,,九-18,0,,,,,780*551*18,,ZJ_ZN241102A1-1 | Y0112032400254-23,034B,18*551*780,,63-18-,,；；,,,深花色,,,0,0,,,34,,,,781.0,551.5,1019,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y033,,,6,,,,,,,End
1320030000000.0,509.0,331.0,510.0,331.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,Y0323142400085-12,33,非标下固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,19,9,5,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320033271056-33-1,,11月5日,,,,柜3区,杭州佳盛,034B,83,智能矩形,,132003327,,FG0218019VA,607.16,509.0,331.0,B,1,,,,,,,,,125-83,,,索菲亚,非标下固层(VA),,  ,,扇地缝:,,33-83,0,,,,,509*331*18,,ZJ_ZN241102A1-1 | Y0323142400085-12,034B,18*331*509,,125-83-,,；；,,,深花色,,,0,0,,,34,,,,510.0,331.5,1056,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y081,,,6,,,,,,,End
1319650000000.0,310.7,293.0,311.7,293.0,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD0041_034,FBD6_22_034,0,1_6_12,381279230,Y0115432401009-5,76,非标18mm见光侧板(VA),ZJ_ZN241102A1-1,2H△2L,,双,18,,,10,1,8,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A2,,,1319650661042-76-1,,11月5日,,,,柜3区,杭州,034B,1,智能矩形,,131965066,1319650000000.0,FC11801VA,427.06,310.7,293.0,B,1,★,,,,,,,,Jan-62,,,索菲亚,非标18mm见光侧板(VA),,  ,,扇地缝:,,Jan-76,0,,,,,310.7*293*18,,ZJ_ZN241102A1-1 | Y0115432401009-5,034B,18*293*310.7,,62-1-,,；；,,,深花色,,,0,0,,,34,,,,311.7,293.0,1042,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y034,,,6,,,,,,,End
1319600000000.0,326.0,321.0,327.0,321.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3854012400162-3,84,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,4,1,5,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1319602841016-84-1,,11月5日,,,,柜3区,扬州市,034B,5,智能矩形,,131960284,,FG0318019VA,457.51,326.0,321.0,B,1,,,,,,,,,5月31日,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,May-84,0,,,,,326*321*18,,ZJ_ZN241102A1-1 | P3854012400162-3,034B,18*321*326,,31-5-,,；；,,,深花色,,,0,0,,,34,,,,327.0,321.5,1016,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P052,,,6,,,,,,,End
