uid,Upi,Fleng,Fwidth
1,1317240000000.0,878.0,369.0
2,1317240000000.0,608.0,877.5
3,1319090000000.0,284.0,323.0
4,1316230000000.0,393.0,361.0
5,1317640000000.0,2000.0,362.0
6,1318470000000.0,1884.0,303.0
7,1319840000000.0,832.0,60.0
8,1319090000000.0,514.0,70.0
9,1317240000000.0,878.0,363.0
10,1319560000000.0,664.0,311.0
11,1319560000000.0,2405.0,554.0
12,1319160000000.0,255.0,328.0
13,1318620000000.0,2360.0,444.0
14,1319160000000.0,382.0,321.0
15,1316230000000.0,384.0,373.0
16,1316230000000.0,384.0,373.0
17,1316230000000.0,384.0,373.0
18,1316230000000.0,323.0,361.0
19,1319840000000.0,832.0,553.0
20,1318620000000.0,828.0,443.0
21,1319840000000.0,407.0,551.0
22,1319570000000.0,1335.0,329.0
23,1320030000000.0,932.0,405.0
24,1320030000000.0,402.0,543.0
25,1317240000000.0,1792.0,363.0
26,1317240000000.0,430.0,361.0
27,1319380000000.0,1114.0,264.0
28,1317640000000.0,1089.0,573.0
29,1319160000000.0,925.0,324.0
30,1319570000000.0,855.5,310.0
31,1319650000000.0,182.0,300.0
32,1319160000000.0,2009.0,323.0
33,1317240000000.0,1792.0,362.0
34,1317240000000.0,421.0,363.0
35,1319090000000.0,440.0,574.0
36,1316230000000.0,379.0,361.0
37,1319650000000.0,789.0,273.0
38,1317240000000.0,630.5,359.0
39,1317240000000.0,421.0,363.0
40,1317240000000.0,878.0,369.0
41,1319380000000.0,714.0,263.0
42,1319560000000.0,182.0,664.0
43,1319160000000.0,1495.0,330.0
44,1320030000000.0,402.0,543.0
45,1317240000000.0,2295.0,364.0
46,1319090000000.0,440.0,574.0
47,1319570000000.0,1334.5,605.0
48,1319090000000.0,364.0,573.0
49,1318390000000.0,664.0,291.0
50,1317240000000.0,430.0,361.0
51,1319380000000.0,258.0,245.0
52,1316230000000.0,393.0,361.0
53,1317640000000.0,370.0,574.0
54,1317640000000.0,363.0,541.0
55,1319160000000.0,382.0,321.0
56,1319160000000.0,1495.0,330.0
57,1317240000000.0,430.0,361.0
58,1319090000000.0,440.0,324.0
59,1317640000000.0,1089.0,573.0
60,1319160000000.0,791.0,321.0
61,1319160000000.0,670.0,324.0
62,1318620000000.0,828.0,534.0
63,1319160000000.0,791.0,321.0
64,1319160000000.0,782.0,329.0
65,1319650000000.0,164.0,278.0
66,1317240000000.0,1792.0,363.0
67,1319380000000.0,1565.0,500.0
68,1319380000000.0,713.5,613.5
69,1319570000000.0,214.0,330.0
70,1320030000000.0,814.0,531.0
71,1319650000000.0,2380.0,274.0
