Upi,Fleng,Fwidth,RawLength,RawWidth,Quantity,Material,Graining,UniqueEdgeId1LeadingEdge,UniqueEdgeId2LeadingEdge,UniqueEdgeId3LeadingEdge,UniqueEdgeId4LeadingEdge,Orientation,Materialflow,SerialNumber,Customernumber,Cart,PartName,Batchnumber,ErpEdge,CsvRemark,DoubleFaces,Thickness,MillingType,Reverse,PackQuantity,PackNumber,SwplQuantity,LotCode,LotDesc,ProjectName,Ftlx,Fen,Color,CabinetNo,DrillingType,WareFlag,ProductColor,CrId,NailFlag,PickupDate,ItemCodeSimple,EmergencyFlag,GIndex,SubBatchArea,DealerName,PVC,LineNo,FlowName,OptimizeList,FactoryCode,Info6DrillingNo,ItemCode,DiagonalLine,DoolFleng,DoolFwidth,DateTimeType,BatchSeq,SeeLightFlag,ReproduceFlag,CabinetNumber,ProductTypeName,PartTypeName,ModelType,HhWall,HhHandleface,DoorSerialNumber,HhLocktype,HhHingetype,OrderBrand,LineItemName,LineItemCode,HhMachiningOne,DetailRemark,HhBottomdis,DePlanComments,HgDoorSerialNumber,IsInsertedPanelLine,OldTaskNo,OldNeedItemNumber,TransverseStriation,HandleRemark,Specification,ProductDateEnd,BatchOrder,SourceColor,HhSpecification,HhMachiningTwo,HhSeq,MmGroovemessage,SealDarkintDamper,DoorPocketNum,HandleShortName,ColourTonal,MmColourmixture,MmSpecOrderRemark,BatchCarNo,BatchCarNoIndex,GcPanelType,SpecialProcess,EdgebandColour,SurfaceColor,EdgebandLogoFlag,TypeOfProduction,OriginLength,OriginWidth,DrillingNoLastFour,EdgebandLogoFlagExtend,HalmaMillType,CpnOuterColorDescriptionZH,PackageBatch,Shape,ShapeFlag,OrderBrandClass,Handle,PotColor,SpellTrayCode,TrayCode,Suite,RouteName,CommentsInValue,FilmCoverItemCode,FilmCoverPictureCode,Layer,SingleOrderSeat,SingleOrderArea,LastCol
1317080000000.0,2100.0,334.0,2101.0,334.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P1242012400179-2,23,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,7,6,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1317082611009-23-1,,11月5日,,,,柜3区,奉化,034B,41,智能矩形,,131708261,,FC21801VA,2126.4,2100.0,334.0,B,1,,,,,,,,,75-41,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,23-41,0,,,,,2100*334*18,,ZJ_ZN241102A1-1 | P1242012400179-2,034B,18*334*2100,,75-41-,,；；,,,深花色,,,0,0,,,34,,,,2101.0,334.5,1009,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P034,,,6,,,,,,,End
1318200000000.0,2090.0,304.0,2091.0,304.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3345212400321-2,35,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,11,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318203971004-35-1,,11月5日,,,,柜3区,哈尔滨市,034B,28,智能矩形,,131820397,,FC21801VA,2111.99,2090.0,304.0,B,1,,,,,,,,,107-28,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,35-28,0,,,,,2090*304*18,,ZJ_ZN241102A1-1 | P3345212400321-2,034B,18*304*2090,,107-28-,,；；,,,深花色,,,0,0,,,34,,,,2091.0,304.5,1004,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1318200000000.0,505.0,304.0,506.0,304.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3345212400321-2,35,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,5,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318203971005-35-1,,11月5日,,,,柜3区,哈尔滨市,034B,29,智能矩形,,131820397,,FC21801VA,589.44,505.0,304.0,B,1,,,,,,,,,107-29,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,35-29,0,,,,,505*304*18,,ZJ_ZN241102A1-1 | P3345212400321-2,034B,18*304*505,,107-29-,,；；,,,深花色,,,0,0,,,34,,,,506.0,304.5,1005,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1318200000000.0,505.0,304.0,506.0,304.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3345212400321-2,35,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,5,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318203971011-35-1,,11月5日,,,,柜3区,哈尔滨市,034B,35,智能矩形,,131820397,,FC21801VA,589.44,505.0,304.0,B,1,,,,,,,,,107-35,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,35-35,0,,,,,505*304*18,,ZJ_ZN241102A1-1 | P3345212400321-2,034B,18*304*505,,107-35-,,；；,,,深花色,,,0,0,,,34,,,,506.0,304.5,1011,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1320020000000.0,483.0,638.5,484.0,639.5,1,VA_18_034B,1,FBD6_22_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,1,1_6_16,381279230,P3726012400098-3,37,吊柜18mm背板(VA),ZJ_ZN241102A1-1,四,,双,18,,,14,6,2,ZJ_ZN241102A1-1(3),,,矩形,分,034BENF,,A8,,,1320023371105-37-1,,11月5日,,,,柜3区,镇江新区,034B,28,智能矩形,,132002337,1320020000000.0,FB11815VA,800.61,483.0,638.5,B,1,,,,,,,,,106-28,,,索菲亚,吊柜18mm背板(VA),,  ,,扇地缝:,,37-28,0,,,,,483*638.5*18,,ZJ_ZN241102A1-1 | P3726012400098-3,034B,18*638.5*483,,106-28-,,；；,,,深花色,,,0,0,,,34,,,,484.0,639.5,1105,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1320020000000.0,713.5,409.0,714.5,409.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3726012400098-3,37,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,14,11,8,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320023371044-37-1,,11月5日,,,,柜3区,镇江新区,034B,54,智能矩形,,132002337,,FG0318019VA,822.41,713.5,409.0,B,1,,,,,,,,,106-54,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,37-54,0,,,,,713.5*409*18,,ZJ_ZN241102A1-1 | P3726012400098-3,034B,18*409*713.5,,106-54-,,；；,,,深花色,,,0,0,,,34,,,,714.5,409.5,1044,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1320020000000.0,740.5,348.0,741.5,348.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3726012400098-3,37,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,14,9,6,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320023371029-37-1,,11月5日,,,,柜3区,镇江新区,034B,77,智能矩形,,132002337,,FG0318019VA,818.2,740.5,348.0,B,1,,,,,,,,,106-77,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,37-77,0,,,,,740.5*348*18,,ZJ_ZN241102A1-1 | P3726012400098-3,034B,18*348*740.5,,106-77-,,；；,,,深花色,,,0,0,,,34,,,,741.5,348.5,1029,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1318880000000.0,654.0,320.0,655.0,320.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P0513012400179-6,51,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,4,1,4,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318875551011-51-1,,11月5日,,,,柜3区,沛县,034B,26,智能矩形,,131887555,,FG0318019VA,728.09,654.0,320.0,B,1,,,,,,,,,35-26,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,51-26,0,,,,,654*320*18,,ZJ_ZN241102A1-1 | P0513012400179-6,034B,18*320*654,,35-26-,,；；,,,深花色,,,0,0,,,34,,,,655.0,320.5,1011,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P082,,,6,,,,,,,End
1319570000000.0,320.0,158.0,321.0,158.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,Y0112032400254-11,72,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,7,2,9,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A6,,,1319570691019-72-1,,11月5日,,,,柜3区,吴江,034B,37,智能矩形,,131957069,,FG0318019VA,356.88,320.0,158.0,B,1,,,,,,,,,61-37,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,72-37,0,,,,,320*158*18,,ZJ_ZN241102A1-1 | Y0112032400254-11,034B,18*158*320,,61-37-,,；；,,,深花色,,,0,0,,,34,,,,321.0,158.5,1019,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y033,,,6,,,,,,,End
1318630000000.0,773.0,70.0,774.0,71.0,1,VA_18_034B,1,FBD6_22_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10T,381279230,P3345202400287-3,29,非标榻榻米封板拉条(VA),ZJ_ZN241102A1-1,四,,,18,,,1,1,20,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1318627291027-29-1,,11月5日,,,,柜1区,哈尔滨市,034B,34,4.0小板件,,131862729,,FS051803VA,776.16,773.0,70.0,B,1,★,,,,,,,,35-34,,,索菲亚,非标榻榻米封板拉条(VA),,  ,,扇地缝:,,29-34,0,,,,,773*70*18,,ZJ_ZN241102A1-1 | P3345202400287-3,034B,18*70*773,,35-34-,,；；,,,深花色,,,0,0,,,34,,,,774.0,71.0,1027,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
