L_air,L_cut,L_cut_base,L_kerf_extra,L_lead,L_shared,N_lift,T_est,U,board,kerf_mode,lead_in,lead_out,min_trails_lb,n_comp,n_parts,n_stroke,n_tabs,odd_total,stroke_over_lb,tool_d
7550.197402999368,15128.690230273853,14274.0,414.6902302738527,440.0,7179.0,22,108.34384595736799,0.9377257457672669,1,tool_center,10.0,10.0,16,10,4,22,16,32,1.375,6.0
8666.197541067464,19476.933569096935,18039.5,697.4335690969341,740.0,9707.0,37,144.3170629276196,0.9393879333512497,2,tool_center,10.0,10.0,27,17,6,37,24,54,1.3703703703703705,6.0
6876.090976487987,11588.592894744621,10967.0,301.59289474462014,320.0,2869.0,16,84.49514642669908,0.905063826928245,3,tool_center,10.0,10.0,13,10,3,16,12,26,1.2307692307692308,6.0
8982.67686279042,21140.274243449247,18887.0,1093.274243449248,1160.0,9381.0,58,170.06672494282708,0.8974956328943833,4,tool_center,10.0,10.0,42,26,9,58,36,84,1.380952380952381,6.0
6983.409577506715,13507.486677646162,12342.0,565.4866776461628,600.0,5296.0,30,105.50425254324423,0.9241185165278151,5,tool_center,10.0,10.0,22,14,5,30,18,44,1.3636363636363635,6.0
7599.493265691626,17695.03090462617,16024.5,810.5309046261666,860.0,6878.5,43,138.0741410545141,0.9238937785541521,6,tool_center,10.0,10.0,31,19,7,43,27,62,1.3870967741935485,6.0
10671.74111575229,25213.362697409255,21950.0,1583.3626974092558,1680.0,11724.0,84,214.61029571855084,0.8899069470572427,7,tool_center,10.0,10.0,60,36,13,84,52,120,1.4,6.0
9988.689832318005,19515.62157897848,17029.25,1206.3715789784806,1280.0,8473.0,64,168.75548755952843,0.9090581328943832,8,tool_center,10.0,10.0,46,28,10,64,40,92,1.391304347826087,6.0
7885.3348809291465,13654.386233567702,12450.050000000001,584.3362335677015,620.0,4174.0,31,108.8426009296968,0.9404118852459017,9,tool_center,10.0,10.0,23,15,5,31,20,46,1.3478260869565217,6.0
8768.505849920173,17113.827351998476,15132.5,961.3273519984767,1020.0,6162.0,51,143.90614845983274,0.8699254232733137,10,tool_center,10.0,10.0,37,23,8,51,31,74,1.3783783783783783,6.0
8607.132096875142,15217.477796076939,13275.0,942.4777960769379,1000.0,5900.5,50,133.30165317413497,0.9305295115560334,11,tool_center,10.0,10.0,36,22,8,50,31,72,1.3888888888888888,6.0
8287.503839890513,12574.283125018474,11098.0,716.2831250184728,760.0,3720.0,38,109.8464233048734,0.9088171022574577,12,tool_center,10.0,10.0,28,18,6,38,23,56,1.3571428571428572,6.0
9344.787527281273,15518.630460547705,13809.25,829.3804605477054,880.0,5641.0,44,131.4827273573011,0.8729373824240796,13,tool_center,10.0,10.0,32,20,7,44,27,64,1.375,6.0
9165.537945503895,17379.42468752771,15165.0,1074.4246875277092,1140.0,6597.5,57,150.82819932864635,0.8720820176027949,14,tool_center,10.0,10.0,41,25,9,57,36,82,1.3902439024390243,6.0
9989.280120656646,14624.380460547705,12915.0,829.3804605477054,880.0,4675.5,44,128.3004625440518,0.8567055227089492,15,tool_center,10.0,10.0,32,20,7,44,28,64,1.375,6.0
12322.503745509164,18690.072911213865,16320.25,1149.8229112138642,1220.0,5895.0,61,166.89537204708768,0.9062572225208277,16,tool_center,10.0,10.0,43,25,10,61,40,86,1.4186046511627908,6.0
9978.407166399998,18425.172467135402,16016.5,1168.672467135403,1240.0,6451.0,62,161.682676668477,0.8812548710024187,17,tool_center,10.0,10.0,45,28,10,62,39,90,1.3777777777777778,6.0
9858.18450679296,16954.573799370788,14662.45,1112.1237993707869,1180.0,4951.7,59,151.68923801043985,0.7929979004299919,18,tool_center,10.0,10.0,43,27,9,59,36,86,1.372093023255814,6.0
10669.574835739077,19866.415805958484,16875.0,1451.4158059584845,1540.0,5464.0,77,182.27122870127056,0.8500034432948133,19,tool_center,10.0,10.0,55,33,12,77,48,110,1.4,6.0
12041.408492947989,17489.06847042925,14730.75,1338.3184704292519,1420.0,4977.0,71,168.32815933804224,0.7120802539639882,20,tool_center,10.0,10.0,51,31,11,71,43,102,1.392156862745098,6.0
12512.188319362349,19794.561809252333,16453.5,1621.0618092523332,1720.0,5601.5,86,192.79718568498635,0.790950265385649,21,tool_center,10.0,10.0,62,38,13,86,51,124,1.3870967741935485,6.0
14347.796564329978,24938.748042820032,20393.35,2205.398042820035,2340.0,6933.0,117,246.98933334276012,0.8680734009674819,22,tool_center,10.0,10.0,81,45,18,117,71,162,1.4444444444444444,6.0
9383.42305336714,12782.873355292326,10451.9,1130.9733552923256,1200.0,3326.6,60,130.6812128831959,0.3945076256382693,23,tool_center,10.0,10.0,42,24,10,60,39,84,1.4285714285714286,6.0
